LEXICO LOG - file: algoritmo1.rs
Generated: 2025-11-10T18:10:51.324111
User: PaulPer37
============================================================

TOKENS
------------------------------------------------------------
LINE   35 | TYPE: SEMICOLON    | POS:    770 | VALUE: ';'
LINE   36 | TYPE: LET          | POS:    784 | VALUE: 'let'
LINE   36 | TYPE: ID           | POS:    788 | VALUE: 'v'
LINE   36 | TYPE: ASSIGN       | POS:    790 | VALUE: '='
LINE   36 | TYPE: VEC          | POS:    792 | VALUE: 'vec'
LINE   36 | TYPE: NOT          | POS:    795 | VALUE: '!'
LINE   36 | TYPE: LBRACKET     | POS:    796 | VALUE: '['
LINE   36 | TYPE: INTEGER      | POS:    797 | VALUE: 1
LINE   36 | TYPE: COMMA        | POS:    798 | VALUE: ','
LINE   36 | TYPE: INTEGER      | POS:    800 | VALUE: 2
LINE   36 | TYPE: COMMA        | POS:    801 | VALUE: ','
LINE   36 | TYPE: INTEGER      | POS:    803 | VALUE: 3
LINE   36 | TYPE: RBRACKET     | POS:    804 | VALUE: ']'
LINE   36 | TYPE: SEMICOLON    | POS:    805 | VALUE: ';'
LINE   37 | TYPE: LET          | POS:    819 | VALUE: 'let'
LINE   37 | TYPE: ID           | POS:    823 | VALUE: 'b'
LINE   37 | TYPE: ASSIGN       | POS:    825 | VALUE: '='
LINE   37 | TYPE: TRUE         | POS:    827 | VALUE: 'true'
LINE   37 | TYPE: SEMICOLON    | POS:    831 | VALUE: ';'
LINE   38 | TYPE: LET          | POS:    845 | VALUE: 'let'
LINE   38 | TYPE: ID           | POS:    849 | VALUE: 'f'
LINE   38 | TYPE: ASSIGN       | POS:    851 | VALUE: '='
LINE   38 | TYPE: FALSE        | POS:    853 | VALUE: 'false'
LINE   38 | TYPE: SEMICOLON    | POS:    858 | VALUE: ';'
LINE   40 | TYPE: IF           | POS:    885 | VALUE: 'if'
LINE   40 | TYPE: ID           | POS:    888 | VALUE: 'b'
LINE   40 | TYPE: AND          | POS:    890 | VALUE: '&&'
LINE   40 | TYPE: NOT          | POS:    893 | VALUE: '!'
LINE   40 | TYPE: ID           | POS:    894 | VALUE: 'f'
LINE   40 | TYPE: OR           | POS:    896 | VALUE: '||'
LINE   40 | TYPE: ID           | POS:    899 | VALUE: 'i'
LINE   40 | TYPE: EQUAL        | POS:    901 | VALUE: '=='
LINE   40 | TYPE: INTEGER      | POS:    904 | VALUE: 2
LINE   40 | TYPE: LBRACE       | POS:    906 | VALUE: '{'
LINE   41 | TYPE: PRINTLN      | POS:    924 | VALUE: 'println'
LINE   41 | TYPE: NOT          | POS:    931 | VALUE: '!'
LINE   41 | TYPE: LPAREN       | POS:    932 | VALUE: '('
LINE   41 | TYPE: STRING       | POS:    933 | VALUE: 'condicion verdadera'
LINE   41 | TYPE: RPAREN       | POS:    954 | VALUE: ')'
LINE   41 | TYPE: SEMICOLON    | POS:    955 | VALUE: ';'
