LEXICO LOG - file: algoritmo2.rs
Generated: 2025-11-11T02:48:12.544105
User: codespace
============================================================

TOKENS
------------------------------------------------------------
LINE    5 | TYPE: FN           | POS:     33 | VALUE: 'fn'
LINE   27 | TYPE: ASSIGN       | POS:    387 | VALUE: '='
LINE   27 | TYPE: INTEGER      | POS:    389 | VALUE: 10
LINE   27 | TYPE: SEMICOLON    | POS:    391 | VALUE: ';'
LINE   28 | TYPE: LET          | POS:    397 | VALUE: 'let'
LINE   28 | TYPE: ID           | POS:    401 | VALUE: 'y'
LINE   28 | TYPE: ASSIGN       | POS:    403 | VALUE: '='
LINE   28 | TYPE: INTEGER      | POS:    405 | VALUE: 5
LINE   28 | TYPE: SEMICOLON    | POS:    406 | VALUE: ';'
LINE   30 | TYPE: LET          | POS:    417 | VALUE: 'let'
LINE   30 | TYPE: ID           | POS:    421 | VALUE: 'suma_result'
LINE   30 | TYPE: ASSIGN       | POS:    433 | VALUE: '='
LINE   30 | TYPE: ID           | POS:    435 | VALUE: 'sumar'
LINE   30 | TYPE: LPAREN       | POS:    440 | VALUE: '('
LINE   30 | TYPE: ID           | POS:    441 | VALUE: 'x'
LINE   30 | TYPE: COMMA        | POS:    442 | VALUE: ','
LINE   30 | TYPE: ID           | POS:    444 | VALUE: 'y'
LINE   30 | TYPE: RPAREN       | POS:    445 | VALUE: ')'
LINE   30 | TYPE: SEMICOLON    | POS:    446 | VALUE: ';'
LINE   31 | TYPE: LET          | POS:    452 | VALUE: 'let'
LINE   31 | TYPE: ID           | POS:    456 | VALUE: 'resta_result'
LINE   31 | TYPE: ASSIGN       | POS:    469 | VALUE: '='
LINE   31 | TYPE: ID           | POS:    471 | VALUE: 'restar'
LINE   31 | TYPE: LPAREN       | POS:    477 | VALUE: '('
LINE   31 | TYPE: ID           | POS:    478 | VALUE: 'x'
LINE   31 | TYPE: COMMA        | POS:    479 | VALUE: ','
LINE   31 | TYPE: ID           | POS:    481 | VALUE: 'y'
LINE   31 | TYPE: RPAREN       | POS:    482 | VALUE: ')'
LINE   31 | TYPE: SEMICOLON    | POS:    483 | VALUE: ';'
LINE   32 | TYPE: LET          | POS:    489 | VALUE: 'let'
LINE   32 | TYPE: ID           | POS:    493 | VALUE: 'mult_result'
LINE   32 | TYPE: ASSIGN       | POS:    505 | VALUE: '='
LINE   32 | TYPE: ID           | POS:    507 | VALUE: 'multiplicar'
LINE   32 | TYPE: LPAREN       | POS:    518 | VALUE: '('
LINE   32 | TYPE: ID           | POS:    519 | VALUE: 'x'
LINE   32 | TYPE: COMMA        | POS:    520 | VALUE: ','
LINE   32 | TYPE: ID           | POS:    522 | VALUE: 'y'
LINE   32 | TYPE: RPAREN       | POS:    523 | VALUE: ')'
LINE   32 | TYPE: SEMICOLON    | POS:    524 | VALUE: ';'
LINE   33 | TYPE: LET          | POS:    530 | VALUE: 'let'
LINE   33 | TYPE: ID           | POS:    534 | VALUE: 'div_result'
LINE   33 | TYPE: ASSIGN       | POS:    545 | VALUE: '='
LINE   33 | TYPE: ID           | POS:    547 | VALUE: 'dividir'
LINE   33 | TYPE: LPAREN       | POS:    554 | VALUE: '('
LINE   33 | TYPE: ID           | POS:    555 | VALUE: 'x'
LINE   33 | TYPE: COMMA        | POS:    556 | VALUE: ','
LINE   33 | TYPE: ID           | POS:    558 | VALUE: 'y'
LINE   33 | TYPE: RPAREN       | POS:    559 | VALUE: ')'
LINE   33 | TYPE: SEMICOLON    | POS:    560 | VALUE: ';'
LINE   35 | TYPE: PRINTLN      | POS:    571 | VALUE: 'println'
LINE   35 | TYPE: NOT          | POS:    578 | VALUE: '!'
LINE   35 | TYPE: LPAREN       | POS:    579 | VALUE: '('
LINE   35 | TYPE: STRING       | POS:    580 | VALUE: 'Suma:'
LINE   35 | TYPE: COMMA        | POS:    587 | VALUE: ','
LINE   35 | TYPE: ID           | POS:    589 | VALUE: 'suma_result'
LINE   35 | TYPE: RPAREN       | POS:    600 | VALUE: ')'
LINE   35 | TYPE: SEMICOLON    | POS:    601 | VALUE: ';'
LINE   36 | TYPE: PRINTLN      | POS:    607 | VALUE: 'println'
LINE   36 | TYPE: NOT          | POS:    614 | VALUE: '!'
LINE   36 | TYPE: LPAREN       | POS:    615 | VALUE: '('
LINE   36 | TYPE: STRING       | POS:    616 | VALUE: 'Resta:'
LINE   36 | TYPE: COMMA        | POS:    624 | VALUE: ','
LINE   36 | TYPE: ID           | POS:    626 | VALUE: 'resta_result'
LINE   36 | TYPE: RPAREN       | POS:    638 | VALUE: ')'
LINE   36 | TYPE: SEMICOLON    | POS:    639 | VALUE: ';'
LINE   37 | TYPE: PRINTLN      | POS:    645 | VALUE: 'println'
LINE   37 | TYPE: NOT          | POS:    652 | VALUE: '!'
LINE   37 | TYPE: LPAREN       | POS:    653 | VALUE: '('
LINE   37 | TYPE: STRING       | POS:    654 | VALUE: 'Multiplicación:'
LINE   37 | TYPE: COMMA        | POS:    671 | VALUE: ','
LINE   37 | TYPE: ID           | POS:    673 | VALUE: 'mult_result'
LINE   37 | TYPE: RPAREN       | POS:    684 | VALUE: ')'
LINE   37 | TYPE: SEMICOLON    | POS:    685 | VALUE: ';'
LINE   38 | TYPE: PRINTLN      | POS:    691 | VALUE: 'println'
LINE   38 | TYPE: NOT          | POS:    698 | VALUE: '!'
LINE   38 | TYPE: LPAREN       | POS:    699 | VALUE: '('
LINE   38 | TYPE: STRING       | POS:    700 | VALUE: 'División:'
LINE   38 | TYPE: COMMA        | POS:    711 | VALUE: ','
LINE   38 | TYPE: ID           | POS:    713 | VALUE: 'div_result'
LINE   38 | TYPE: RPAREN       | POS:    723 | VALUE: ')'
LINE   38 | TYPE: SEMICOLON    | POS:    724 | VALUE: ';'
LINE   39 | TYPE: RBRACE       | POS:    726 | VALUE: '}'

------------------------------------------------------------

ERRORS / LEXER OUTPUT
------------------------------------------------------------
No errors reported by lexer (t_error did not print anything).
