LEXICO LOG - file: algoritmo3.rs
Generated: 2025-11-17T23:38:04.659648
User: RUCO_HOUSE
============================================================

TOKENS
------------------------------------------------------------
LINE    6 | TYPE: FN           | POS:     66 | VALUE: 'fn'
LINE   49 | TYPE: PLUS         | POS:    957 | VALUE: '+'
LINE   49 | TYPE: ID           | POS:    959 | VALUE: 'i'
LINE   49 | TYPE: SEMICOLON    | POS:    960 | VALUE: ';'
LINE   50 | TYPE: ID           | POS:    974 | VALUE: 'x'
LINE   50 | TYPE: MINUS_ASSIGN | POS:    976 | VALUE: '-='
LINE   50 | TYPE: INTEGER      | POS:    979 | VALUE: 1
LINE   50 | TYPE: SEMICOLON    | POS:    980 | VALUE: ';'
LINE   54 | TYPE: ID           | POS:   1052 | VALUE: 'y'
LINE   54 | TYPE: MULT_ASSIGN  | POS:   1054 | VALUE: '*='
LINE   54 | TYPE: FLOAT        | POS:   1057 | VALUE: 2.0
LINE   54 | TYPE: SEMICOLON    | POS:   1060 | VALUE: ';'
LINE   55 | TYPE: ID           | POS:   1074 | VALUE: 'z'
LINE   55 | TYPE: DIV_ASSIGN   | POS:   1076 | VALUE: '/='
LINE   55 | TYPE: FLOAT        | POS:   1079 | VALUE: 1.0
LINE   55 | TYPE: SEMICOLON    | POS:   1082 | VALUE: ';'
LINE   59 | TYPE: LET          | POS:   1160 | VALUE: 'let'
LINE   59 | TYPE: ID           | POS:   1164 | VALUE: 'v'
LINE   59 | TYPE: ASSIGN       | POS:   1166 | VALUE: '='
LINE   59 | TYPE: VEC          | POS:   1168 | VALUE: 'vec'
LINE   59 | TYPE: NOT          | POS:   1171 | VALUE: '!'
LINE   59 | TYPE: LBRACKET     | POS:   1172 | VALUE: '['
LINE   59 | TYPE: INTEGER      | POS:   1173 | VALUE: 1
LINE   59 | TYPE: COMMA        | POS:   1174 | VALUE: ','
LINE   59 | TYPE: INTEGER      | POS:   1176 | VALUE: 2
LINE   59 | TYPE: COMMA        | POS:   1177 | VALUE: ','
LINE   59 | TYPE: INTEGER      | POS:   1179 | VALUE: 3
LINE   59 | TYPE: RBRACKET     | POS:   1180 | VALUE: ']'
LINE   59 | TYPE: SEMICOLON    | POS:   1181 | VALUE: ';'
LINE   61 | TYPE: LET          | POS:   1208 | VALUE: 'let'
LINE   61 | TYPE: ID           | POS:   1212 | VALUE: 'b'
LINE   61 | TYPE: ASSIGN       | POS:   1214 | VALUE: '='
LINE   61 | TYPE: TRUE         | POS:   1216 | VALUE: 'true'
LINE   61 | TYPE: SEMICOLON    | POS:   1220 | VALUE: ';'
LINE   62 | TYPE: LET          | POS:   1234 | VALUE: 'let'
LINE   62 | TYPE: ID           | POS:   1238 | VALUE: 'f'
LINE   62 | TYPE: ASSIGN       | POS:   1240 | VALUE: '='
LINE   62 | TYPE: FALSE        | POS:   1242 | VALUE: 'false'
LINE   62 | TYPE: SEMICOLON    | POS:   1247 | VALUE: ';'
LINE   66 | TYPE: IF           | POS:   1351 | VALUE: 'if'
LINE   66 | TYPE: ID           | POS:   1354 | VALUE: 'b'
LINE   66 | TYPE: AND          | POS:   1356 | VALUE: '&&'
LINE   66 | TYPE: NOT          | POS:   1359 | VALUE: '!'
LINE   66 | TYPE: ID           | POS:   1360 | VALUE: 'f'
LINE   66 | TYPE: OR           | POS:   1362 | VALUE: '||'
LINE   66 | TYPE: ID           | POS:   1365 | VALUE: 'i'
LINE   66 | TYPE: EQUAL        | POS:   1367 | VALUE: '=='
LINE   66 | TYPE: INTEGER      | POS:   1370 | VALUE: 2
LINE   66 | TYPE: LBRACE       | POS:   1372 | VALUE: '{'
LINE   67 | TYPE: PRINTLN      | POS:   1390 | VALUE: 'println'
LINE   67 | TYPE: NOT          | POS:   1397 | VALUE: '!'
LINE   67 | TYPE: LPAREN       | POS:   1398 | VALUE: '('
LINE   67 | TYPE: STRING       | POS:   1399 | VALUE: 'condicion verdadera'
LINE   67 | TYPE: RPAREN       | POS:   1420 | VALUE: ')'
